Name MJD Filter Mag MagErr Survey Name_upper Name_alt Type Instrument
SN2005hk 53720.06999999983 B 18.647 0.03 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53725.10000000009 B 18.766 0.02 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53728.10999999987 B 18.823 0.022 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53730.12000000011 B 18.797 0.021 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53736.060000000056 B 18.875 0.015 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53739.060000000056 B 18.933 0.015 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53745.049999999814 B 18.951 0.048 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53748.06999999983 B 19.034 0.067 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53751.049999999814 B 19.069 0.028 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53761.04000000004 B 19.194 0.026 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53675.10999999987 V 16.866 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53682.080000000075 V 15.937 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53683.080000000075 V 15.877 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53684.12000000011 V 15.825 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53687.08999999985 V 15.73 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53689.16000000015 V 15.765 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53690.10999999987 V 15.762 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53694.14999999991 V 15.932 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53695.14000000013 V 15.981 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53698.08999999985 V 16.24 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53699.12000000011 V 16.324 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53702.12999999989 V 16.585 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53706.16000000015 V 16.887 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53712.06999999983 V 17.182 0.011 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53720.06999999983 V 17.471 0.015 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53725.10000000009 V 17.574 0.012 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53728.10999999987 V 17.663 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53730.12000000011 V 17.7 0.011 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53736.060000000056 V 17.787 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53739.060000000056 V 17.845 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53745.049999999814 V 17.93 0.019 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53748.06999999983 V 17.995 0.024 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53761.04000000004 V 18.186 0.013 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53675.10999999987 g 16.759 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53682.080000000075 g 15.883 0.004 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53683.080000000075 g 15.828 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53684.12000000011 g 15.801 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53687.08999999985 g 15.804 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53689.16000000015 g 15.886 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53690.10999999987 g 15.958 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53694.14999999991 g 16.327 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53695.14000000013 g 16.446 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53698.08999999985 g 16.827 0.005 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53699.12000000011 g 16.964 0.005 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53702.12999999989 g 17.31 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53706.16000000015 g 17.65 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53712.06999999983 g 17.961 0.012 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53720.06999999983 g 18.134 0.015 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53725.10000000009 g 18.272 0.011 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53728.10999999987 g 18.332 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53730.12000000011 g 18.309 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53736.060000000056 g 18.411 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53739.060000000056 g 18.466 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53745.049999999814 g 18.498 0.016 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53748.06999999983 g 18.528 0.016 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53751.049999999814 g 18.572 0.011 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53761.04000000004 g 18.665 0.019 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53675.10999999987 r 16.893 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53682.080000000075 r 15.945 0.005 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53683.080000000075 r 15.878 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53684.12000000011 r 15.833 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53687.08999999985 r 15.734 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53689.16000000015 r 15.701 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53690.10999999987 r 15.684 0.004 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53694.14999999991 r 15.709 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53695.14000000013 r 15.726 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53698.08999999985 r 15.869 0.004 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53699.12000000011 r 15.924 0.004 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53702.12999999989 r 16.108 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53706.16000000015 r 16.376 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53712.06999999983 r 16.669 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53720.06999999983 r 16.966 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53725.10000000009 r 17.127 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53728.10999999987 r 17.202 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53730.12000000011 r 17.267 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53736.060000000056 r 17.396 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53739.060000000056 r 17.475 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53745.049999999814 r 17.588 0.011 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53748.06999999983 r 17.657 0.012 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53751.049999999814 r 17.733 0.011 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53761.04000000004 r 17.983 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53675.10999999987 i 17.106 0.012 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53682.080000000075 i 16.17 0.005 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53683.080000000075 i 16.104 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53684.12000000011 i 16.064 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53687.08999999985 i 15.943 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53689.16000000015 i 15.885 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53690.10999999987 i 15.87 0.005 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53694.14999999991 i 15.779 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53695.14000000013 i 15.783 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53698.08999999985 i 15.846 0.005 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53699.12000000011 i 15.875 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53702.12999999989 i 16.005 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53706.16000000015 i 16.21 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53712.06999999983 i 16.495 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53720.06999999983 i 16.811 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53725.10000000009 i 16.982 0.01 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53728.10999999987 i 17.066 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53730.12000000011 i 17.135 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53736.060000000056 i 17.289 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53739.060000000056 i 17.367 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53745.049999999814 i 17.5 0.012 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53748.06999999983 i 17.564 0.013 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53751.049999999814 i 17.666 0.014 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53761.04000000004 i 17.841 0.012 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53676.0 Y 16.878 0.026 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53676.00999999978 Y 16.857 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53677.049999999814 Y 16.71 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53678.029999999795 Y 16.568 0.02 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53678.04000000004 Y 16.524 0.019 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53680.029999999795 Y 16.369 0.017 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53680.04000000004 Y 16.306 0.017 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53681.080000000075 Y 16.268 0.036 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53681.08999999985 Y 16.262 0.036 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53685.10999999987 Y 16.043 0.021 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53685.12000000011 Y 16.119 0.023 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53696.12000000011 Y 15.581 0.017 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53697.060000000056 Y 15.507 0.013 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53697.060000000056 Y 15.519 0.014 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53705.04000000004 Y 15.58 0.016 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53710.10999999987 Y 15.685 0.015 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53710.12000000011 Y 15.671 0.014 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53717.10000000009 Y 15.916 0.012 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53717.10999999987 Y 15.886 0.016 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53719.10999999987 Y 15.955 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53722.049999999814 Y 16.074 0.063 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53722.060000000056 Y 16.024 0.036 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53723.04000000004 Y 16.088 0.019 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53723.04000000004 Y 16.061 0.023 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53727.06999999983 Y 16.248 0.02 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53727.080000000075 Y 16.214 0.021 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53731.060000000056 Y 16.368 0.02 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53743.049999999814 Y 16.775 0.037 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53743.06999999983 Y 16.79 0.037 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53756.060000000056 Y 17.237 0.042 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53756.06999999983 Y 17.278 0.069 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53676.0 J 16.763 0.033 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53676.00999999978 J 16.771 0.031 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53677.049999999814 J 16.558 0.027 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53677.080000000075 J 16.507 0.031 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53678.029999999795 J 16.422 0.025 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53678.04000000004 J 16.423 0.031 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53680.029999999795 J 16.152 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53680.04000000004 J 16.177 0.026 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53681.080000000075 J 16.151 0.037 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53681.08999999985 J 16.145 0.029 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53685.10999999987 J 15.946 0.025 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53685.12000000011 J 15.951 0.02 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53688.12999999989 J 15.916 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53688.12999999989 J 15.881 0.021 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53691.10000000009 J 15.829 0.075 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53696.12000000011 J 15.893 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53696.12999999989 J 15.86 0.021 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53697.060000000056 J 15.942 0.026 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53697.060000000056 J 15.938 0.027 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53701.080000000075 J 15.854 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53701.080000000075 J 15.933 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53705.04000000004 J 16.001 0.027 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53705.049999999814 J 15.927 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53710.10999999987 J 16.105 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53710.12000000011 J 16.065 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53717.10000000009 J 16.398 0.026 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53717.10999999987 J 16.464 0.029 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53719.10999999987 J 16.566 0.035 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53719.12999999989 J 16.561 0.033 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53722.049999999814 J 16.693 0.029 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53722.060000000056 J 16.699 0.03 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53723.04000000004 J 16.67 0.05 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53727.06999999983 J 16.938 0.046 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53727.080000000075 J 16.983 0.055 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53731.060000000056 J 17.19 0.068 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53731.080000000075 J 17.114 0.05 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53743.049999999814 J 17.581 0.035 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53743.06999999983 J 17.599 0.036 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53756.060000000056 J 17.866 0.06 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53756.06999999983 J 18.093 0.065 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53676.0 H 16.887 0.067 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53676.00999999978 H 16.959 0.055 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53677.049999999814 H 16.762 0.048 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53677.080000000075 H 16.747 0.052 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53678.029999999795 H 16.524 0.06 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53678.04000000004 H 16.648 0.067 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53680.029999999795 H 16.363 0.062 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53680.04000000004 H 16.407 0.054 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53681.080000000075 H 16.271 0.032 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53685.10999999987 H 16.055 0.036 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53685.12000000011 H 16.107 0.039 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53688.12999999989 H 15.885 0.025 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53688.12999999989 H 15.92 0.025 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53692.06999999983 H 15.755 0.027 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53692.080000000075 H 15.786 0.025 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53696.12000000011 H 15.646 0.021 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53696.12999999989 H 15.657 0.023 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53697.060000000056 H 15.591 0.025 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53697.060000000056 H 15.599 0.029 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53701.080000000075 H 15.579 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53701.080000000075 H 15.537 0.022 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53705.04000000004 H 15.624 0.019 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53705.049999999814 H 15.655 0.024 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53710.10999999987 H 15.798 0.023 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53710.12000000011 H 15.802 0.029 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53717.10000000009 H 16.101 0.038 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53717.10999999987 H 16.04 0.045 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53719.10999999987 H 16.191 0.047 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53719.12999999989 H 16.108 0.046 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53722.049999999814 H 16.238 0.032 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53722.060000000056 H 16.262 0.032 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53727.06999999983 H 16.432 0.054 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53727.080000000075 H 16.423 0.064 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53731.060000000056 H 16.678 0.063 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53731.080000000075 H 16.514 0.062 CSP SN2005HK SN2005hk "" Swope1
SN2005hk 53743.049999999814 H 16.969 0.041 CSP SN2005HK SN2005hk "" duPont
SN2005hk 53743.06999999983 H 16.964 0.05 CSP SN2005HK SN2005hk "" duPont
sn2005hk 53675.2118 U 16.038 0.021 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53675.2154 U 16.059 0.018 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53679.2032 U 15.636 0.016 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53680.2517 U 15.616 0.021 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53680.2553 U 15.616 0.019 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53681.1384 U 15.614 0.019 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53681.1421 U 15.599 0.021 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53681.1559 U 15.61 0.02 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53681.1595 U 15.566 0.021 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53682.2723 U 15.594 0.021 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53682.276 U 15.598 0.018 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53683.1694 U 15.607 0.022 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53689.1877 U 15.836 0.06 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53689.1913 U 15.612 0.062 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53692.2365 U 16.52 0.053 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53692.2401 U 16.598 0.06 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53696.1979 U 17.36 0.075 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53696.2015 U 17.415 0.068 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53707.2052 U 18.722 0.127 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53675.2087 B 16.799 0.009 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53676.1745 B 16.615 0.029 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53676.2411 B 16.569 0.01 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53678.2682 B 16.239 0.006 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53679.1994 B 16.159 0.006 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53680.2591 B 16.062 0.009 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53681.1458 B 16.008 0.007 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53681.1633 B 15.995 0.008 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53682.1181 B 15.952 0.01 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53682.2685 B 15.952 0.007 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53683.1566 B 15.941 0.017 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53683.1732 B 15.915 0.016 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53688.2665 B 16.031 0.016 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53689.1839 B 16.087 0.011 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53691.2651 B 16.3 0.016 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53692.2439 B 16.418 0.018 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53693.2635 B 16.555 0.018 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53694.2441 B 16.727 0.018 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53695.2119 B 16.816 0.011 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53696.2053 B 16.967 0.014 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53697.1572 B 17.108 0.017 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53701.1335 B 17.842 0.026 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53705.0798 B 18.041 0.02 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53707.2021 B 18.193 0.023 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53709.1641 B 18.341 0.026 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53728.1033 B 18.885 0.073 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53729.1504 B 18.828 0.037 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53731.1364 B 18.761 0.054 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53752.0979 B 19.186 0.051 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53758.1294 B 19.268 0.067 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53675.203 V 16.874 0.009 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53676.1689 V 16.645 0.015 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53676.2334 V 16.643 0.009 CfA3 SN2005HK sn2005hk "" Keplercam
sn2005hk 53677.257 V 16.469 0.011 CfA3 SN2005HK sn2005hk "" Keplercam
